,Time,Loci1_FL_temp,Loci1_NF_temp,Loci1_FL_Wat,Loci1_NF_Wat,Loci2_FL_temp,Loci2_NF_temp,Loci2_FL_Wat,Loci2_NF_Wat,Day,Rtime
1,"2Day - 11,14",NA,NA,NA,NA,21.13,26.015,0.0085,0.0045,124,2013-05-03 12:00:00
2,"2Day - 11,14",NA,NA,NA,NA,22.015,25.78,0.0425,0.026,124,2013-05-03 13:00:00
3,"2Day - 11,14",NA,NA,NA,NA,26.175,26.32,0.0415,0.041,124,2013-05-03 14:00:00
4,"3Afternoon - 15,18",NA,NA,NA,NA,28.13,24.775,0.0405,0.04,124,2013-05-03 15:00:00
5,"3Afternoon - 15,18",NA,NA,NA,NA,27.035,22.915,0.04,0.039,124,2013-05-03 16:00:00
6,"3Afternoon - 15,18",NA,NA,NA,NA,25.58,21.305,0.04,0.04,124,2013-05-03 17:00:00
7,"3Afternoon - 15,18",NA,NA,NA,NA,23.415,19.95,0.0395,0.041,124,2013-05-03 18:00:00
8,"4Evning - 19,22",NA,NA,NA,NA,20.815,18.24,0.0395,0.0405,124,2013-05-03 19:00:00
9,"4Evning - 19,22",NA,NA,NA,NA,18.6,16.75,0.0395,0.041,124,2013-05-03 20:00:00
10,"4Evning - 19,22",NA,NA,NA,NA,16.62,15.31,0.04,0.04,124,2013-05-03 21:00:00
11,"4Evning - 19,22",NA,NA,NA,NA,15.18,14.215,0.04,0.0405,124,2013-05-03 22:00:00
12,"5Night - 23,2",NA,NA,NA,NA,13.665,12.99,0.0405,0.041,124,2013-05-03 23:00:00
13,"5Night - 23,2",NA,NA,NA,NA,12.405,11.95,0.0405,0.0415,124,2013-05-04 00:00:00
14,"5Night - 23,2",NA,NA,NA,NA,11.51,11.335,0.0405,0.0415,124,2013-05-04 01:00:00
15,"5Night - 23,2",NA,NA,NA,NA,10.62,10.7,0.0415,0.0415,124,2013-05-04 02:00:00
16,"6Erly Morn - 3,6",NA,NA,NA,NA,10.02,10.31,0.042,0.0425,124,2013-05-04 03:00:00
17,"6Erly Morn - 3,6",NA,NA,NA,NA,9.425,9.91,0.043,0.044,124,2013-05-04 04:00:00
18,"6Erly Morn - 3,6",NA,NA,NA,NA,8.925,9.4,0.0435,0.045,124,2013-05-04 05:00:00
19,"6Erly Morn - 3,6",NA,NA,NA,NA,8.655,9.105,0.0435,0.044,124,2013-05-04 06:00:00
20,"1Morning - 7,10",NA,NA,NA,NA,10.1,10.19,0.0415,0.041,124,2013-05-04 07:00:00
21,"1Morning - 7,10",NA,NA,NA,NA,12.76,12.02,0.0365,0.039,124,2013-05-04 08:00:00
